Platform,url
2600,https://tse4.mm.bing.net/th?id=OIP.yyLexq3pXQCmd5Rt4YoqnwAAAA&pid=Api
3DS,https://tse3.mm.bing.net/th?id=OIP.RW1ie1ql2DjxRqAJ-ZF7_wHaHa&pid=Api
DC,https://tse4.mm.bing.net/th?id=OIP.AKPP84ckbUp1MWiFJ1WhbAHaDt&pid=Api
DS,https://tse3.mm.bing.net/th?id=OIP.FgiN6nXSBrYIfQtbArAEkQHaGQ&pid=Api
GB,https://scale.coolshop-cdn.com/product-media.coolshop-cdn.com/AM7V9X/9f6a5fc0fa5c4635a4560fe07e4ab696.jpg/f/nintendo-gameboy-classic-console-grey-1989-dmg-01.jpg
GBA,https://tse3.mm.bing.net/th?id=OIP.iW4ooXqajdHcbsbAoBmrUgHaDv&pid=Api
GC,https://tse2.mm.bing.net/th?id=OIP.tu-8uKw5Zje2E9wmZ0nwggHaF2&pid=Api
GEN,https://tse1.mm.bing.net/th?id=OIP.h2sjmqAl_FrAqiauKtypAAHaDM&pid=Api
N64,https://www.pwnedgames.co.za/images/stories/virtuemart/product/nintendo_64_console_with_controller_grey_n64.png
NES,https://tse2.mm.bing.net/th?id=OIP.9lzVImhA3H0flvY4IHAQwwHaEB&pid=Api
PC,https://tse1.mm.bing.net/th?id=OIP.FgBGMlSrG14nR-JQZbWUaQHaEJ&pid=Api
PS,https://tse3.mm.bing.net/th?id=OIP.KxdX0WCMd1b63M9cNzoCqAHaCy&pid=Api
PS2,https://tse4.mm.bing.net/th?id=OIP.IZjEuc1In1Qw-1DiduOBfQHaGj&pid=Api
PS3,https://tse1.mm.bing.net/th?id=OIP.KaTRHgA-VjzZsID13l6fsAHaGw&pid=Api
PS4,https://tse1.mm.bing.net/th?id=OIP.2Fkm8AopMnVzweaBnNTnrQHaD4&pid=Api
PSP,https://tse3.mm.bing.net/th?id=OIP.QDJObVOWw_OpavRlp8dw3QHaEK&pid=Api
PSV,https://tse1.mm.bing.net/th?id=OIP.LmfvEyY_lWKrQhlePrRwGQHaDO&pid=Api
SAT,https://tse1.explicit.bing.net/th?id=OIP.jGOGTR3Z_U5HNNl6zw_uYAHaDw&pid=Api
SCD,https://tse3.mm.bing.net/th?id=OIP.bS4m4P4ahMB-6VQuy-xJIgHaGK&pid=Api
SNES,https://tse1.mm.bing.net/th?id=OIP.Q3uchCIIbZt9JIrmFqbxSwHaD2&pid=Api
Wii,https://tse1.mm.bing.net/th?id=OIP.CtiRaE9ucOFqtZGzjkR0BQHaHa&pid=Api
WiiU,https://tse3.mm.bing.net/th?id=OIP.l7nXfEZw8rmJw-_KD3GXXgHaEK&pid=Api
X360,https://tse2.mm.bing.net/th?id=OIP.M5L6cZmbqzU3fWQsBLuEawHaKM&pid=Api
XB,https://upload.wikimedia.org/wikipedia/commons/c/c2/Xbox-Console-Set.png
XOne,https://tse1.mm.bing.net/th?id=OIP.8uKAD1cG80Yl2FnilbaNAwHaEK&pid=Api
